Name/Class,Str,Agl,Vit,Mag
Butz,4,1,3,1
Lenna,1,2,1,4
Galuf,3,0,4,0
Faris,3,3,2,2
Cara,1,4,0,3
,,,,
Normal/Mimic,24,24,24,24
Knight,47,25,44,10
Monk,50,25,50,1
Thief,25,40,26,18
Dragoon,42,29,39,12
Ninja,39,38,27,14
Samurai,43,26,43,12
Berserker,45,15,49,1
Hunter,40,36,25,19
Mystic Knight,38,38,38,25
White,17,25,24,49
Black,15,24,22,55
Time,19,26,21,48
Summoner,14,23,23,57
Blue,16,25,27,47
Red,32,29,18,32
Mediator,37,25,32,21
Chemist,26,27,30,20
Geomancer,28,26,28,48
Bard,16,32,15,35
Dancer,29,29,14,19
